index,Z,log(age/yr),M_ini,M_act,logL/Lo,logTe,logG,mbol,gP1,rP1,iP1,zP1,yP1,wP1,int_IMF,stage,G,G_BP,G_RP
0,0.000131,10.0792,0.09614755,0.0961,-2.9421,3.5315,5.441,12.125,14.467,12.88,12.007,11.614,11.438,12.732,1.53202021,1,12.636,13.807,11.55
1,0.000131,10.0792,0.10972575,0.1097,-2.6582,3.5663,5.3536,11.416,13.235,11.885,11.264,10.97,10.815,11.863,1.66094553,1,11.793,12.732,10.825
2,0.000131,10.0792,0.1122951,0.1123,-2.6085,3.5724,5.3383,11.291,13.027,11.724,11.135,10.854,10.704,11.715,1.68345332,1,11.647,12.553,10.698
3,0.000131,10.0792,0.13229509,0.1323,-2.381,3.5928,5.2638,10.722,12.199,11.06,10.55,10.307,10.173,11.075,1.84188581,1,11.013,11.819,10.122
4,0.000131,10.0792,0.1522951,0.1523,-2.2215,3.6038,5.2095,10.324,11.676,10.62,10.144,9.917,9.792,10.642,1.97516561,1,10.581,11.339,9.719
5,0.000131,10.0792,0.18459019,0.1846,-2.0307,3.6148,5.146,9.847,11.083,10.103,9.659,9.448,9.333,10.132,2.15111184,1,10.071,10.784,9.238
6,0.000131,10.0792,0.23073775,0.2307,-1.8238,3.6259,5.0806,9.33,10.456,9.548,9.133,8.939,8.832,9.581,2.34298897,1,9.521,10.192,8.717
7,0.000131,10.0792,0.28073776,0.2807,-1.6532,3.6355,5.0333,8.903,9.94,9.09,8.7,8.519,8.419,9.126,2.49821615,1,9.066,9.703,8.286
8,0.000131,10.0792,0.34999999,0.35,-1.4678,3.6471,4.9902,8.439,9.377,8.589,8.227,8.062,7.973,8.629,2.6555202,1,8.568,9.167,7.818
9,0.000131,10.0792,0.40000001,0.4,-1.3444,3.6556,4.9588,8.131,9.002,8.256,7.914,7.76,7.677,8.298,2.7413373,1,8.237,8.81,7.507
10,0.000131,10.0792,0.44999999,0.45,-1.1931,3.6698,4.9155,7.753,8.52,7.841,7.531,7.394,7.323,7.886,2.81098008,1,7.824,8.354,7.129
11,0.000131,10.0792,0.5,0.4999,-1.0245,3.6859,4.8572,7.331,7.997,7.386,7.11,6.992,6.934,7.433,2.86847806,1,7.37,7.856,6.712
12,0.000131,10.0792,0.55000001,0.5499,-0.8196,3.7058,4.7732,6.819,7.378,6.845,6.607,6.512,6.469,6.893,2.91663504,1,6.827,7.262,6.214
13,0.000131,10.0792,0.60000002,0.5998,-0.6099,3.731,4.702,6.295,6.746,6.301,6.11,6.041,6.016,6.35,2.95739889,1,6.28,6.657,5.722
14,0.000131,10.0792,0.60730487,0.6071,-0.5776,3.7353,4.6922,6.214,6.651,6.219,6.035,5.971,5.948,6.267,2.96283889,1,6.197,6.565,5.649
15,0.000131,10.0792,0.61843032,0.6182,-0.5279,3.7419,4.6767,6.09,6.505,6.093,5.921,5.863,5.845,6.142,2.97089839,1,6.07,6.424,5.536
16,0.000131,10.0792,0.6283437,0.6281,-0.4833,3.7477,4.6622,5.978,6.375,5.981,5.819,5.767,5.752,6.03,2.9778595,1,5.957,6.299,5.435
17,0.000131,10.0792,0.63796794,0.6377,-0.4396,3.7533,4.6474,5.869,6.249,5.873,5.72,5.673,5.662,5.921,2.98442507,1,5.847,6.178,5.337
18,0.000131,10.0792,0.64930689,0.649,-0.3875,3.7597,4.6288,5.739,6.1,5.744,5.602,5.562,5.555,5.791,2.9919188,1,5.716,6.035,5.22
19,0.000131,10.0792,0.64999998,0.6497,-0.3844,3.7601,4.6277,5.731,6.091,5.736,5.595,5.555,5.548,5.784,2.9923687,1,5.708,6.026,5.213
20,0.000131,10.0792,0.65875363,0.6585,-0.3433,3.7649,4.6115,5.628,5.977,5.635,5.502,5.466,5.462,5.682,2.99797106,1,5.606,5.916,5.121
21,0.000131,10.0792,0.66897225,0.6687,-0.2946,3.7704,4.5913,5.506,5.842,5.516,5.391,5.361,5.36,5.562,3.00433111,1,5.485,5.785,5.011
22,0.000131,10.0792,0.67869276,0.6783,-0.2471,3.7755,4.5707,5.388,5.713,5.401,5.284,5.258,5.26,5.447,3.01020861,1,5.369,5.659,4.905
23,0.000131,10.0792,0.68797249,0.6876,-0.2004,3.7804,4.5492,5.271,5.586,5.288,5.179,5.157,5.162,5.334,3.01566935,1,5.255,5.536,4.801
24,0.000131,10.0792,0.69620764,0.6958,-0.1576,3.7846,4.5285,5.164,5.469,5.189,5.089,5.071,5.078,5.233,3.02039719,1,5.153,5.424,4.711
25,0.000131,10.0792,0.69999999,0.6996,-0.1375,3.7865,4.5185,5.114,5.414,5.143,5.046,5.031,5.038,5.186,3.02253795,1,5.105,5.372,4.669
26,0.000131,10.0792,0.70801431,0.7076,-0.0932,3.7904,4.4947,5.003,5.294,5.039,4.95,4.939,4.948,5.081,3.02698922,1,4.999,5.256,4.573
27,0.000131,10.0792,0.71653515,0.716,-0.0439,3.7945,4.4669,4.88,5.161,4.92,4.84,4.833,4.843,4.961,3.03161573,1,4.878,5.127,4.464
28,0.000131,10.0792,0.72401595,0.7235,0.0017,3.7981,4.44,4.766,5.038,4.811,4.736,4.733,4.745,4.85,3.03559065,1,4.766,5.007,4.361
29,0.000131,10.0792,0.73296994,0.7324,0.0596,3.8022,4.4038,4.621,4.882,4.669,4.601,4.602,4.616,4.707,3.04024482,1,4.622,4.856,4.227
30,0.000131,10.0792,0.7397626,0.7391,0.1069,3.8052,4.3726,4.503,4.757,4.551,4.489,4.493,4.509,4.59,3.0437026,1,4.504,4.733,4.115
31,0.000131,10.0792,0.74796772,0.7472,0.1687,3.8086,4.3293,4.348,4.593,4.397,4.341,4.349,4.366,4.435,3.04779816,1,4.349,4.572,3.968
32,0.000131,10.0792,0.75,0.7493,0.1845,3.8095,4.318,4.309,4.551,4.358,4.303,4.312,4.329,4.395,3.04879928,1,4.309,4.531,3.93
33,0.000131,10.0792,0.75132704,0.7506,0.1948,3.8101,4.3109,4.283,4.524,4.332,4.279,4.288,4.305,4.37,3.04944992,1,4.284,4.504,3.905
34,0.000131,10.0792,0.75941718,0.7586,0.2652,3.8135,4.259,4.107,4.338,4.157,4.109,4.122,4.14,4.193,3.05336976,1,4.106,4.321,3.736
35,0.000131,10.0792,0.76478523,0.7639,0.3162,3.8155,4.2188,3.979,4.203,4.029,3.985,4.0,4.019,4.065,3.05592632,1,3.977,4.189,3.612
36,0.000131,10.0792,0.76987445,0.7689,0.3672,3.8169,4.1764,3.852,4.07,3.9,3.859,3.876,3.895,3.936,3.05831814,1,3.849,4.058,3.487
37,0.000131,10.0792,0.77403504,0.773,0.4123,3.8175,4.1359,3.739,3.954,3.787,3.747,3.764,3.784,3.822,3.06025076,1,3.735,3.943,3.375
38,0.000131,10.0792,0.77834469,0.7772,0.4661,3.8164,4.0799,3.605,3.819,3.65,3.609,3.626,3.645,3.686,3.06223154,1,3.598,3.807,3.237
39,0.000131,10.0792,0.78193337,0.7807,0.5178,3.8134,4.0182,3.476,3.694,3.518,3.474,3.487,3.505,3.554,3.06386495,1,3.467,3.681,3.101
40,0.000131,10.0792,0.78327984,0.782,0.5389,3.8117,3.9911,3.423,3.644,3.464,3.417,3.429,3.446,3.5,3.06447411,2,3.414,3.629,3.044
41,0.000131,10.0792,0.78441215,0.7831,0.5598,3.8092,3.9608,3.371,3.596,3.411,3.359,3.369,3.385,3.447,3.06498456,2,3.361,3.58,2.986
42,0.000131,10.0792,0.78626287,0.7849,0.5971,3.8036,3.9019,3.277,3.513,3.314,3.254,3.259,3.271,3.351,3.06581616,2,3.266,3.493,2.88
43,0.000131,10.0792,0.78770453,0.7863,0.6313,3.7966,3.8407,3.192,3.443,3.225,3.153,3.151,3.16,3.263,3.06646132,2,3.179,3.417,2.777
44,0.000131,10.0792,0.78885865,0.7874,0.6629,3.7884,3.7768,3.113,3.385,3.139,3.054,3.043,3.049,3.18,3.06697607,2,3.097,3.352,2.676
45,0.000131,10.0792,0.78981292,0.7883,0.6923,3.7793,3.7115,3.039,3.339,3.059,2.956,2.937,2.938,3.102,3.06740069,2,3.022,3.295,2.577
46,0.000131,10.0792,0.79063928,0.7891,0.7209,3.7704,3.6479,2.968,3.289,2.984,2.867,2.839,2.837,3.028,3.06776738,2,2.95,3.238,2.487
47,0.000131,10.0792,0.79137725,0.7898,0.7512,3.7622,3.585,2.892,3.234,2.908,2.779,2.743,2.735,2.953,3.06809449,2,2.875,3.178,2.397
48,0.000131,10.0792,0.79196507,0.7903,0.7822,3.7558,3.529,2.815,3.175,2.831,2.692,2.649,2.638,2.876,3.06835437,2,2.8,3.114,2.308
49,0.000131,10.0792,0.79255587,0.7909,0.8213,3.7502,3.4677,2.717,3.093,2.733,2.585,2.537,2.522,2.779,3.06861544,2,2.704,3.028,2.2
50,0.000131,10.0792,0.7930373,0.7913,0.8605,3.7465,3.4137,2.619,3.007,2.636,2.482,2.43,2.413,2.682,3.06882787,2,2.607,2.939,2.097
51,0.000131,10.0792,0.79329073,0.7915,0.8828,3.7447,3.3844,2.563,2.957,2.581,2.424,2.37,2.352,2.627,3.06893945,3,2.553,2.887,2.038
52,0.000131,10.0792,0.79359376,0.7918,0.9129,3.743,3.3479,2.488,2.887,2.507,2.346,2.291,2.272,2.553,3.06907296,3,2.478,2.816,1.96
53,0.000131,10.0792,0.79399103,0.7921,0.954,3.741,3.2987,2.385,2.79,2.405,2.241,2.183,2.163,2.451,3.06924772,3,2.377,2.718,1.855
54,0.000131,10.0792,0.79439121,0.7925,0.9979,3.739,3.2473,2.275,2.687,2.296,2.129,2.069,2.048,2.342,3.06942368,3,2.268,2.613,1.742
55,0.000131,10.0792,0.79477459,0.7928,1.0426,3.7374,3.1961,2.164,2.581,2.186,2.016,1.955,1.931,2.231,3.069592,3,2.158,2.506,1.629
56,0.000131,10.0792,0.79518199,0.7931,1.0933,3.7356,3.1386,2.037,2.46,2.06,1.888,1.824,1.8,2.106,3.06977081,3,2.032,2.383,1.5
57,0.000131,10.0792,0.79552388,0.7933,1.1388,3.7341,3.0872,1.923,2.351,1.947,1.773,1.708,1.682,1.993,3.06992078,3,1.92,2.274,1.385
58,0.000131,10.0792,0.79586971,0.7936,1.1886,3.7326,3.0314,1.798,2.232,1.824,1.647,1.581,1.554,1.87,3.07007217,3,1.797,2.153,1.258
59,0.000131,10.0792,0.7962091,0.7938,1.2418,3.731,2.9717,1.665,2.104,1.692,1.512,1.445,1.416,1.738,3.07022071,3,1.665,2.024,1.123
60,0.000131,10.0792,0.79648298,0.7939,1.2887,3.7295,2.9191,1.548,1.992,1.576,1.394,1.325,1.295,1.622,3.07034039,3,1.549,1.911,1.005
