source_id,ra,dec,pmra,pmdec,bp_rp,phot_g_mean_mag,l,b,parallax,parallax_over_error,phi1,phi2,pmphi1,pmphi2,probability
6562429858981617152,326.4915266035719,-48.42730046376969,5.077468,-6.094899,0.604567,19.359851,349.353176,-48.472296,-0.227692,-0.763045,20.975474,1.278098,-4.950154,0.084947,0.99619
6562444741045076608,326.2759080660007,-48.335688363583046,5.004888,-5.772569,0.950894,16.836257,349.53786,-48.354508,0.008627,0.150961,21.144096,1.256153,-4.755052,-0.195628,0.999606
6562514727535578752,327.3124007892264,-47.98312246450769,5.798431,-6.274046,0.737501,19.864544,349.809506,-49.109641,-0.273919,-0.740857,20.665205,0.645369,-5.646508,0.020214,5.27E-4
6562527131400976768,326.70550543222083,-48.19609376900191,5.152193,-6.024935,0.763228,20.421804,349.641922,-48.665174,-0.832839,-1.159856,20.944354,1.008393,-4.979218,0.007889,0.991844
6562532461455564928,326.8051849011482,-48.181443299466814,5.358799,-5.814088,0.648612,19.688531,349.639702,-48.733208,-0.174098,-0.504969,20.890249,0.967109,-5.074081,-0.261354,0.948066
6562538607553589120,326.5655065331621,-48.202590105989856,5.072598,-5.875003,0.711731,18.732563,349.665483,-48.572939,-0.212703,-1.221306,21.02619,1.053723,-4.848978,-0.106899,0.998712
6562539642642862208,326.52412006993404,-48.174933852224264,5.051644,-6.013171,0.670292,20.08387,349.715835,-48.55255,0.58031,1.224094,21.062907,1.040364,-4.890013,0.023262,0.998349
6562540256821105792,326.5457354850187,-48.11581546428052,5.1104,-5.718891,0.604621,19.114658,349.797678,-48.580295,-0.041826,-0.189733,21.074903,0.980705,-4.817524,-0.266616,0.998813
6575365170902957440,321.3675868171849,-47.10982406067605,4.704217,-6.179659,1.103817,14.462978,352.186075,-45.334148,0.044082,1.782331,24.642624,1.666216,-4.846806,-0.132734,0.998658
6575369736451710848,321.2559287154822,-46.99603946071208,4.793285,-6.40589,0.753349,20.177768,352.36091,-45.274041,-0.946721,-1.858605,24.764212,1.603267,-5.037901,0.012115,0.977677
6575393341592065280,321.09574337433344,-46.74582402267984,4.540695,-6.210159,0.601014,19.438099,352.733348,-45.197776,0.28886,0.937447,24.981221,1.437314,-4.727623,-0.051873,0.999852
6562638285155597312,325.9742764924083,-48.15621858056985,5.111677,-5.854692,0.834298,17.816405,349.869114,-48.199735,0.114517,1.076398,21.402557,1.180097,-4.896918,-0.195047,0.996608
6562640866430191104,325.9759466097661,-48.057985728296785,5.085359,-5.931886,0.744713,20.262356,350.012455,-48.222687,0.003048,0.005429,21.44383,1.090944,-4.906011,-0.11447,0.996708
6562644263748983168,325.77372174793237,-48.199724632397334,5.199634,-5.833108,0.652767,19.316808,349.850109,-48.059676,0.202769,0.69198,21.504451,1.27705,-4.974153,-0.270273,0.988084
6562651930267440512,325.81676797411865,-48.04688885714577,5.109152,-5.797707,0.790846,20.040381,350.063842,-48.121344,0.759969,1.669514,21.544636,1.126816,-4.875282,-0.260094,0.997266
6562677489616877056,324.88828510580913,-48.26443242380266,4.834098,-6.045105,0.726858,20.058215,349.944706,-47.469754,-0.026468,-0.049145,22.006571,1.593412,-4.770843,0.001801,0.999764
6575424299715427584,322.0062227373981,-46.84327412609856,5.046968,-6.187214,0.629379,19.145735,352.477081,-45.802565,0.741621,2.185334,24.387434,1.223684,-5.127552,-0.234101,0.887226
6562688656531106560,325.14082634556195,-47.974020582693896,4.872336,-6.075884,0.656674,20.061748,350.31384,-47.695067,0.766935,1.733411,21.983455,1.258407,-4.80809,0.033136,0.999615
6562694978723453568,325.39704431446194,-48.0919932068786,4.934519,-5.927287,0.788235,20.713789,350.088639,-47.837755,0.071385,0.072082,21.777693,1.289319,-4.789516,-0.10444,0.999506
6562701988109667968,325.44217487497264,-47.842609838489096,5.143259,-5.607916,0.615695,19.18375,350.442534,-47.920015,-0.128657,-0.529325,21.85943,1.051776,-4.835511,-0.48033,0.998106
