Gaia ID (Gaia DR3)	RA (ICRS)	Dec (ICRS)	μα (mas/ yr)	μδ (mas/ yr)	(BP − RP)0 (mag)	G0 (mag)	ϖ (″)	ϖ/δϖ	vrad (km/s)	[Fe/H]	FeHerr
6511703172776180736	335.53	-50.36	5.76	-5.2	0.96	16.38	0.05	1.01	-29.08	-1.62	0.2
6511937265674081280	334.46	-50.12	5.81	-5.29	0.89	17.56	0.1	1.14	-21.56	-2.14	0.35
6511949016704646144	334.08	-50.01	5.65	-5.33	1.04	15.47	0.08	2.39	-23.7	-2.01	0.13
6511950425453887488	334.32	-50.01	5.72	-5.32	0.89	17.6	0.02	0.24	-28.09	-1.86	0.2
6512899235269728256	344.34	-51.54	6.23	-4.71	0.91	17.36	0.14	1.69	5.22		
6513160536783138816	343.29	-51.1	6.06	-4.53	0.63	19.01	0.27	1.31	17.29		
6501420089060434944	350.84	-51.94	6.46	-4.24	0.59	19.08	0.03	0.15	27.86		
6501478985948721152	350.08	-51.83	6.6	-4.12	0.61	18.91	-0.1	-0.53	23.11		
6501570825232486400	352.47	-51.97	6.43	-4.12	0.69	18.67	-0.08	-0.53	26.82		
6521621106959698944	356.67	-52.36	6.81	-3.86	0.61	18.87	-0.01	-0.05	41.59		
6521797269338415104	359.28	-52.49	6.82	-3.36	0.65	18.7	-0.07	-0.45	46.32		
6522395201802753024	355.87	-51.97	6.68	-3.72	0.92	17.19	0.02	0.28	45.88		
4972241827072899072	3.05	-52.38	7.02	-3.46	0.6	18.97	-0.15	-0.87	56.5		
4972389402151428096	1.45	-52.27	7.05	-3.23	0.8	18.43	0.13	1.02	53.92		
4972432622404785152	2.73	-52.34	6.81	-3.03	0.61	18.84	0.01	0.09	51.36		
4972434619566888960	3.05	-52.2	6.96	-3.2	0.88	17.94	-0.01	-0.11	58.46		
4973110918000434176	0.7	-52.49	6.93	-3.51	0.85	18.23	-0.05	-0.43	43.11		
4973123184427063296	0.06	-52.42	7.04	-3.66	0.73	18.62	-0.17	-1.21	47.64		
4973132259695258624	0.53	-52.19	6.97	-3.41	0.9	17.41	-0.13	-1.77	50.36	-1.76	0.15
4973136172408386560	0.9	-52.36	6.94	-3.54	0.73	18.55	-0.03	-0.2	49.19		
4973136481646042112	0.94	-52.32	6.82	-3.06	0.63	18.92	-0.04	-0.25	49.38		
4973148507554608128	1.41	-52.07	7.05	-2.92	0.65	18.75	0.02	0.12	56.54		
6563748345221978112	323.53	-46.7	5.24	-6.45	0.54	19.1	0.42	1.53	-63.65		
6513551864140520448	341.73	-51.33	6.92	-5.64	0.96	16.77	0.09	1.53	-60.09		
6513586464397103104	341.88	-51.01	6.77	-5.29	0.91	16.99	-0.03	-0.47	-28.71	-1.77	0.15
6513595702869676032	341.46	-50.96	6.83	-5.12	0.65	18.75	0.11	0.56	-43.4		
6513741559959126016	339.46	-50.84	6.58	-5.64	0.8	18.43	0.15	0.97	-53.12		
6513756506444306432	340.92	-51.09	6.89	-5.57	0.85	18.28	-0.07	-0.45	-55.67		
