source_id	ra	dec	pmra	pmdec	Vr	Vr_err	G_0	bprp_0	feh	feh_err	Survey	
3958917028852911232	189.1316	23.4988	-1.0765	-1.7502	-54.61	5.45	18.52	0.89	-1.590	0.080	SEGUE	
3958529828960889472	193.9868	26.1820	-0.5636	-2.3073	-71.98	14.07	17.76	0.78	-1.481	0.325	LAMOST	
1452515161633128576	210.6023	28.2220	0.1981	-3.0312	-190.03	24.19	17.55	0.89	-1.659	0.381	LAMOST	
1259791217328624896	215.5418	27.9655	0.7228	-3.5630	-178.36	9.13	18.85	0.56	-1.786	0.047	SEGUE	
1284032803020905344	216.2726	29.2915	1.0164	-3.5633	-172.65	11.08	18.94	0.53	-1.548	0.025	SEGUE	
1283742394512311424	216.8810	28.4759	0.8161	-3.6425	-174.22	5.67	18.66	0.63	-1.392	0.070	SEGUE	
1283722775101748480	217.4780	28.6154	0.6439	-3.4800	-170.35	3.80	17.98	0.69	-1.748	0.029	SEGUE	
1280001688451645312	220.1860	27.7717	1.0302	-3.8147	-189.88	11.44	17.08	0.91	-1.650	0.276	LAMOST	
1270836846719121536	232.9526	27.6245	2.1492	-4.8814	-197.73	12.42	17.24	0.87	-1.331	0.253	LAMOST	
1224502013678132736	236.0643	27.9842	1.8500	-5.5970	-182.08	16.89	17.36	0.70	-1.870	0.136	LAMOST	
1223324234863007616	237.7107	26.5518	2.7691	-5.6384	-209.36	11.73	18.49	0.65	-1.357	0.073	SEGUE	
