# Rank	ra	dec	G	bp_rp	pmra	pmra_err	pmdec	pmdec_err	w
1	211.8487	10.5403	18.030	0.648	3.741	0.346	-9.117	0.096	1.000
2	214.1377	10.8701	18.624	0.661	3.439	0.518	-9.072	0.079	0.864
3	191.8278	19.3288	18.750	0.658	2.943	0.495	-7.059	0.117	0.836
4	221.2704	6.3224	18.349	0.633	3.604	0.453	-9.941	0.325	0.823
5	224.7915	5.2440	17.813	0.649	3.970	0.288	-9.758	0.357	0.690
6	219.6210	9.3874	18.481	0.626	3.470	0.454	-9.502	0.229	0.623
7	206.9149	13.8379	18.128	0.641	3.302	0.359	-8.887	0.304	0.612
8	189.1147	20.2214	18.553	0.631	2.236	0.429	-6.821	0.132	0.580
9	215.2481	9.1563	18.036	0.640	3.838	0.366	-9.582	0.484	0.565
10	200.5500	16.3797	18.725	0.660	2.524	0.525	-7.885	1.231	0.458
11	203.8473	13.6791	18.998	0.686	2.631	0.846	-8.046	0.453	0.458
12	225.6028	6.4901	18.418	0.612	4.303	0.394	-9.856	0.882	0.432
13	198.0241	17.3266	18.062	0.601	2.738	0.332	-7.762	0.355	0.420
14	202.0928	15.2032	17.942	0.650	3.382	0.382	-8.304	0.192	0.402
15	215.6956	10.3686	18.525	0.658	4.195	0.444	-8.972	0.182	0.373
16	214.1131	9.6728	18.593	0.676	3.546	0.486	-9.272	0.456	0.372
17	191.8149	16.7659	19.318	0.743	2.724	1.841	-7.245	0.394	0.371
18	194.1823	17.1066	18.529	0.642	3.553	0.521	-7.361	0.967	0.363
19	221.8236	7.5419	18.722	0.684	4.295	0.510	-9.537	0.122	0.362
20	199.0225	14.7108	19.222	0.704	3.293	0.799	-8.407	0.130	0.351
21	188.0709	17.4787	19.177	0.675	2.394	0.779	-6.701	0.122	0.337
22	216.2352	8.7810	19.415	0.734	3.002	0.882	-9.145	0.276	0.327
23	195.6849	15.8065	19.131	0.692	2.230	0.664	-7.666	0.667	0.324
24	210.9052	11.3475	19.595	0.781	3.522	0.863	-9.240	0.821	0.318
25	215.7512	6.6868	19.016	0.686	3.167	0.666	-9.635	0.036	0.293
26	194.0119	18.7484	18.648	0.695	3.016	0.468	-7.340	0.368	0.286
27	216.3491	10.2678	19.143	0.708	4.509	0.685	-8.981	0.621	0.283
28	201.8017	15.1407	19.615	0.765	3.949	1.281	-8.356	0.287	0.277
29	200.4833	16.7628	18.267	0.639	2.743	0.382	-7.539	0.577	0.276
30	215.8864	6.4038	18.756	0.565	3.355	0.771	-9.170	0.257	0.273
31	209.8048	10.4813	19.318	0.746	3.749	0.732	-8.350	0.082	0.272
32	210.2689	12.6871	19.811	0.811	3.111	1.208	-9.248	0.132	0.268
33	220.3115	7.1609	18.590	0.634	3.162	0.438	-9.549	0.071	0.266
34	217.4034	6.8449	18.993	0.695	2.829	0.645	-9.338	0.641	0.265
35	224.8610	4.9289	19.491	0.747	4.670	0.784	-9.577	0.869	0.262
36	197.7927	16.3254	18.502	0.631	3.473	0.393	-7.965	0.344	0.262
37	209.8688	11.0934	19.416	0.720	4.132	0.850	-8.683	0.053	0.261
38	209.1230	13.0422	19.078	0.703	4.395	0.741	-8.458	0.070	0.260
39	226.7971	6.8240	18.880	0.692	3.524	0.628	-10.534	0.047	0.259
40	205.6701	14.1893	19.461	0.735	3.359	1.023	-8.997	1.079	0.259
41	202.4636	15.4496	19.501	0.754	2.331	0.841	-7.971	0.446	0.257
42	216.7714	9.6120	18.744	0.680	4.442	0.687	-8.955	0.054	0.257
43	189.7340	20.4308	18.829	0.629	2.502	0.429	-6.752	0.191	0.252
44	218.7209	8.8706	19.974	0.850	4.217	1.579	-10.959	0.259	0.251
45	221.0086	6.6657	19.428	0.744	4.235	0.867	-10.441	1.050	0.245
46	212.5012	11.5745	19.523	0.776	3.038	0.962	-8.436	0.111	0.243
47	196.2040	17.9566	19.937	0.825	2.030	1.202	-6.985	0.051	0.242
48	196.3534	18.0855	19.751	0.797	2.016	0.994	-7.253	0.801	0.241
49	213.7135	10.4678	19.555	0.746	3.806	1.591	-8.274	0.128	0.241
50	199.6213	16.5163	19.149	0.676	2.654	0.731	-7.496	0.242	0.239
