No.	ra	dec	pmra	pmra_err	pmdec	pmdec_err	Vr	Vr_err	feh	feh_err	G	GBP	GRP	Survey
1*	23.8285	22.8031	1.0098	0.0986	-0.1037	0.0784	-16.84	3.11	-1.913	0.068	16.759	17.222	16.106	SEGUE
2*×	24.1829	22.9364	1.0127	0.1831	-0.9748	0.1339	2.78	7.84	-2.545	0.048	17.617	18.049	16.997	SEGUE
3*	24.2157	22.9598	0.8790	0.3456	0.2562	0.2288	-17.60	8.73	-1.867	0.104	18.530	19.005	17.998	SEGUE
4* (BHB)	23.2433	23.1934	0.6858	0.1844	-0.2179	0.1546	-32.59	6.76	-2.121	0.078	17.967	18.031	17.815	SEGUE
5*	24.1515	23.3639	1.2849	0.1128	0.2147	0.0938	-23.76	4.55	-2.348	0.114	17.335	17.803	16.718	SEGUE
6*	23.9200	23.3903	0.5511	0.2549	0.4586	0.1641	-26.84	7.61	-2.128	0.114	18.251	18.672	17.667	SEGUE
7*	23.8055	23.4783	1.1128	0.2314	0.0493	0.1889	-16.15	8.19	-2.371	0.056	18.457	18.891	17.927	SEGUE
8 (BHB)	24.5968	23.6575	1.1237	0.1755	0.1393	0.1465	-28.03	4.77	-2.278	0.152	17.834	17.903	17.692	SEGUE
9*	23.7817	23.8800	1.0403	0.2248	0.2268	0.1843	-36.43	5.51	-2.383	0.095	18.256	18.669	17.716	SEGUE
10*	23.9193	24.1185	0.8721	0.2242	-0.1813	0.1614	-31.52	5.94	-1.953	0.128	18.220	18.705	17.689	SEGUE
11	24.0593	24.1634	1.0918	0.0460	0.1548	0.0351	-27.93	8.18	-2.249	0.061	15.279	15.832	14.573	LAMOST
12*	23.4145	24.3451	1.5329	0.3380	0.0838	0.1762	-22.60	9.99	-2.072	0.072	18.648	18.981	18.075	SEGUE
13*	23.5792	24.3911	1.1712	0.2725	0.3187	0.1921	-13.69	9.70	-2.653	0.147	18.648	19.030	18.073	SEGUE
14	23.5445	24.5692	1.0955	0.0584	0.1400	0.0363	-32.73	9.18	-1.962	0.135	16.025	16.537	15.347	LAMOST
15	23.8850	24.7038	0.9478	0.1592	0.0680	0.1383	-24.41	6.23	-1.830	0.140	17.839	18.239	17.246	SEGUE
16	22.3385	28.4684	0.9975	0.0801	0.3481	0.0569	-41.53	12.97	-2.311	0.111	16.581	17.045	15.961	LAMOST
17	22.4622	30.0863	0.9254	0.1081	0.0873	0.0825	-34.82	9.93	-1.716	0.272	17.156	17.596	16.563	LAMOST
18	22.3181	31.2075	0.9126	0.0968	0.0614	0.0716	-57.01	16.48	-2.143	0.241	17.152	17.616	16.521	LAMOST
19	21.4457	34.2315	0.8154	0.0552	0.2357	0.0419	-68.02	13.15	-2.439	0.161	15.964	16.453	15.313	LAMOST
20	20.8085	34.9178	0.7522	0.0638	0.4043	0.0443	-75.26	12.41	-2.056	0.136	16.213	16.680	15.569	LAMOST
21	21.2461	35.1423	0.9246	0.1032	0.4356	0.0884	-74.81	12.45	-2.322	0.204	17.493	17.885	16.919	LAMOST
22	21.3470	35.2527	0.8679	0.0563	0.2653	0.0435	-74.42	11.61	-2.141	0.211	16.273	16.759	15.613	LAMOST
23	20.6703	37.3033	0.5967	0.2600	0.3732	0.2044	-76.24	12.45	-2.145	0.038	19.007	19.514	18.485	SEGUE
24 (BHB)	20.4665	37.9600	0.7622	0.1674	0.3160	0.1455	-90.22	5.21	-1.740	0.055	18.101	18.157	18.010	SEGUE
25	20.6305	38.4133	0.9838	0.1966	0.2130	0.1741	-87.51	7.20	-2.042	0.089	18.524	18.966	17.931	SEGUE
26 (BHB)	20.7368	38.4931	1.0037	0.1538	0.2964	0.1236	-105.28	7.22	-1.378	0.040	17.908	18.044	17.637	SEGUE
27	20.1517	38.6458	0.8931	0.1369	0.2047	0.0976	-101.34	5.60	-2.036	0.041	17.676	18.130	17.124	SEGUE
