Imp,On,TrackName,Name,TrackRefs,TrackRefsLatex,Notes,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,DiscoveryYear
st,True,Sagittarius-A20,Sagittarius,antoja2020,"Antoja2020,Ramos2020",-,279.99999999999994,62.81863612494435,16.006257900744973,37.31490637044987,149.79425600699756,27.84780861065654,19.412007188945378,284.0387675133207,-29.004083526161665,28.822249094927756,123.64740137980102,-59.52178064589869,1110,1,1,1,0,"Mateo1996,Mateo1998,Ibata2001,Majewski2003",82,1996
st,True,Pal5-PW19,Pal5,pricewhelan2019,"PriceWhelan2019_pal5,Bonaca2020",-,21.389020205076417,242.09382436964572,6.883095033835641,22.0234082820527,224.65738999320817,-4.800515080645671,19.088233937073312,229.00594480083745,-0.1057935468399477,20.53797360399084,319.20527302462244,-56.48977919831249,1110,1,1,1,0,Odenkirchen2001,69,2001
st,True,Monoceros-R21,Monoceros,ramos2021,Ramos2021,-,46.91444163359483,78.53515334543825,71.74058779541136,10.599999999999962,116.1155139057779,30.559735586099553,10.599999999999985,105.18295264570651,51.99688235481004,10.59999999999999,216.17467054091557,15.63465296479456,1110,1,1,1,0,Newberg2002,53,2002
st,True,Orphan-K19,Orphan-Chenab,koposov2019,Koposov2019,-,230.56220929160241,341.01566483739145,-13.651559707819331,100.00000000693495,136.43646379545228,60.34180735662019,55.409956704742626,192.67162581662615,-62.397942471391424,17.789047159945422,72.00000050820087,-14.000000195192426,1111,1,1,1,1,"Grillmair2006_orphan,Shipp2018,Koposov2019",66,2006
st,True,GD-1-I21,GD-1,ibata2021,Ibata2021,-,102.52109985505336,123.27554451289338,-10.088678886107294,9.199134134222831,219.91332538819165,57.91071902630444,11.684442740062579,148.14590426569234,35.437328366334185,7.620636575836133,34.78577977781799,29.131333319097294,1110,1,1,1,0,Grillmair2006_gd1,33,2006
st,True,ACS-R21,ACS,ramos2021,Ramos2021,-,57.6641363426194,154.39841805705225,80.03816201409785,11.699999999999513,125.52507630167668,23.95004456548836,11.69999999999904,128.51898202124207,52.59559991950583,11.699999999999985,212.30163850594226,-4.733141452814082,1110,1,1,1,0,Grillmair2006_acs,6,2006
st,True,NGC5466-J21,NGC5466,jensen2021,Jensen2021,-,30.899317900344897,192.83625893585594,35.49639455160474,26.80784985386846,224.61213652502894,21.7784102667901,14.322752952239343,211.34082325582162,28.512814335918154,16.73855800938212,343.1415655101358,50.756416257361764,1110,1,1,1,0,"Belokurov2006_5466,Grillmair2006_5466",60,2006
ep,True,Styx-G09,Styx,grillmair2009,Grillmair2009,-,60.44077026680432,194.0,20.0,45.0,259.0,21.0,45.0,226.38090174309508,23.90818927653936,45.0,48.89108755175238,66.07142508780933,0000,0,0,0,0,Grillmair2009,86,2009
st,True,300S-F18,300S,fu2018,Fu2018,-,11.084050035883614,151.80000501357952,16.046962361141194,17.96333294183257,163.17000930877413,14.448968680195888,14.350059975053755,157.51043124647896,15.343948560876726,15.929408526687904,308.0564701505861,72.50938813171157,1101,1,1,0,1,"NiedersteOstholt2009,Simon2011",2,2009
ep,True,Acheron-G09,Acheron,grillmair2009,Grillmair2009,-,36.532091641306295,230.0,-2.0,3.5,259.0,21.0,3.8,244.604605842248,10.300418553972733,3.656381685929915,142.33942832888778,49.453184084738695,0000,0,0,0,0,Grillmair2009,5,2009
